s001  だあだ
a615	もとごめ
a616	わかやぎゃ
a617	だいぎゃく
a618	よみつぎゃ
a619	んふせぎゃ
a620	みじろぎゃ
a621	らんぎゃく
a622	えわぎゅう
a623	にくぎゅう
a624	れぎゅらあ
a625	とおぎゅう
a626	どんぎゅう
a627	あらぎょお
a628	みぎょおしょ
a629	たてぎょく
a630	ぎょろぎょろ
a631	しゅんぎょお
a632	かざまち
a633	ふくざつ
a634	せんざい
a635	おかずり
a636	のねずみ
a637	おおずめ
a638	ばんずけ
a639	なみかぜ
a640	がいぜん
a641	ふせぜい
a642	にょぜかん
a643	まさぞお
a644	りぞおる
a645	ふゆぞら
a646	かねぞお
a647	みんぞく
a648	たまじゃり
a649	すいじゃく
a650	わるじゃれ
a651	かねじゃく
a652	ろじゃあす
a653	んみすじ
a654	きむてじ
a655	たいじゅう
a656	さげじゅう
a657	こじゅうと
a658	しんじゅつ
a659	りじぇくと
a660	いまじょお
a661	おじょおず
a662	じじょでん
a663	めんじょお
a664	うきだしゃ
a665	つれだちゃ
a666	いぬたで
a667	でれでれ
a668	らんです
a669	あぶどら
a670	うらせど
a671	ものども
a672	じんどりゃ
a673	ひこばえ
a674	ふしんび
a675	さんりぶ
a676	とめぶろ
a677	すこぶる
a678	ばんぶつ
a679	しべとろ
a680	ごむべら
a681	さけべよ
a682	あべこべ
a683	ねんべつ
a684	くさぼけ
a685	ごしぼま
a686	うめぼり
a687	ぼんぼり
a688	いならびゃ
a689	かいびゃく
a690	んむせびゃ
a691	んしのびゃ
a692	ぷれびゅう
a693	たいびょお
a694	てびょうし
a695	りょおびょお

a1000   ちぇしぇじきぇ
a1001   ひぇすぃとぅぎぇ
a1002   ほぅほぅぴぇうぉ
a1003   あびぇめら
a1004   てきょしゅびゃ
a1005   いびゅびゅびょ
a1006   んびゅんびょ
a1007   あふぁふぉびゅ
